time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,0.000000,-0.000000,0.000000,-0.000000
0.010000,0.000000,-0.000000,0.000002,0.000000
0.015000,0.000000,0.000000,0.000005,0.000003
0.020000,0.000000,0.000000,0.000012,0.000008
0.025000,0.000000,0.000000,0.000019,0.000017
0.030000,0.000000,0.000000,0.000020,0.000022
0.035000,0.000000,0.000000,0.000012,0.000019
0.040000,0.000000,0.000000,-0.000011,0.000007
0.045000,0.000000,0.000000,-0.000048,-0.000030
0.050000,-0.000000,0.000000,-0.000100,-0.000066
0.055000,-0.000001,-0.000000,-0.000164,-0.000135
0.060000,-0.000002,-0.000001,-0.000241,-0.000192
0.065000,-0.000003,-0.000002,-0.000329,-0.000291
0.070000,-0.000005,-0.000004,-0.000423,-0.000366
0.075000,-0.000008,-0.000006,-0.000519,-0.000481
0.080000,-0.000011,-0.000008,-0.000615,-0.000558
0.085000,-0.000014,-0.000012,-0.000714,-0.000674
0.090000,-0.000018,-0.000014,-0.000817,-0.000754
0.095000,-0.000022,-0.000019,-0.000928,-0.000882
0.100000,-0.000027,-0.000023,-0.001047,-0.000974
0.105000,-0.000033,-0.000029,-0.001173,-0.001122
0.110000,-0.000039,-0.000033,-0.001304,-0.001225
0.115000,-0.000046,-0.000041,-0.001435,-0.001383
0.120000,-0.000054,-0.000047,-0.001564,-0.001487
0.125000,-0.000062,-0.000056,-0.001691,-0.001641
0.130000,-0.000071,-0.000063,-0.001817,-0.001742
0.135000,-0.000080,-0.000073,-0.001940,-0.001892
0.140000,-0.000090,-0.000081,-0.002057,-0.001989
0.145000,-0.000101,-0.000093,-0.002165,-0.002124
0.150000,-0.000112,-0.000102,-0.002261,-0.002207
0.155000,-0.000123,-0.000115,-0.002341,-0.002312
0.160000,-0.000135,-0.000125,-0.002406,-0.002370
0.165000,-0.000148,-0.000139,-0.002456,-0.002439
0.170000,-0.000160,-0.000149,-0.002492,-0.002473
0.175000,-0.000172,-0.000164,-0.002515,-0.002507
0.180000,-0.000185,-0.000174,-0.002530,-0.002521
0.185000,-0.000198,-0.000189,-0.002544,-0.002538
0.190000,-0.000211,-0.000199,-0.002557,-0.002549
0.195000,-0.000223,-0.000214,-0.002569,-0.002565
0.200000,-0.000236,-0.000225,-0.002577,-0.002573
0.205000,-0.000249,-0.000240,-0.002579,-0.002579
0.210000,-0.000262,-0.000250,-0.002577,-0.002579
0.215000,-0.000275,-0.000266,-0.002571,-0.002574
0.220000,-0.000288,-0.000276,-0.002563,-0.002567
0.225000,-0.000301,-0.000292,-0.002554,-0.002557
0.230000,-0.000313,-0.000302,-0.002547,-0.002550
0.235000,-0.000326,-0.000317,-0.002542,-0.002543
0.240000,-0.000339,-0.000327,-0.002541,-0.002540
0.245000,-0.000351,-0.000342,-0.002543,-0.002541
0.250000,-0.000364,-0.000353,-0.002546,-0.002543
0.255000,-0.000377,-0.000368,-0.002546,-0.002547
0.260000,-0.000390,-0.000378,-0.002538,-0.002545
0.265000,-0.000402,-0.000393,-0.002517,-0.002529
0.270000,-0.000415,-0.000403,-0.002480,-0.002505
0.275000,-0.000427,-0.000418,-0.002431,-0.002453
0.280000,-0.000439,-0.000428,-0.002370,-0.002408
0.285000,-0.000451,-0.000442,-0.002300,-0.002329
0.290000,-0.000462,-0.000452,-0.002226,-0.002269
0.295000,-0.000473,-0.000465,-0.002155,-0.002181
0.300000,-0.000483,-0.000474,-0.002096,-0.002128
0.305000,-0.000494,-0.000486,-0.002049,-0.002065
0.310000,-0.000504,-0.000495,-0.002013,-0.002033
0.314999,-0.000514,-0.000507,-0.001985,-0.001996
0.319999,-0.000524,-0.000515,-0.001960,-0.001975
0.324999,-0.000533,-0.000527,-0.001936,-0.001947
0.329999,-0.000543,-0.000534,-0.001909,-0.001928
0.334999,-0.000552,-0.000546,-0.001875,-0.001892
0.339999,-0.000562,-0.000553,-0.001834,-0.001862
0.344999,-0.000571,-0.000564,-0.001787,-0.001809
0.349999,-0.000579,-0.000572,-0.001738,-0.001770
0.354999,-0.000588,-0.000582,-0.001689,-0.001710
0.359999,-0.000596,-0.000589,-0.001639,-0.001671
0.364999,-0.000604,-0.000599,-0.001591,-0.001611
0.369999,-0.000612,-0.000605,-0.001546,-0.001573
0.374999,-0.000620,-0.000615,-0.001507,-0.001524
0.379999,-0.000627,-0.000621,-0.001468,-0.001494
0.384999,-0.000634,-0.000629,-0.001423,-0.001447
0.389999,-0.000641,-0.000635,-0.001367,-0.001407
0.394998,-0.000648,-0.000644,-0.001296,-0.001330
0.399998,-0.000654,-0.000649,-0.001213,-0.001268
0.404998,-0.000660,-0.000656,-0.001120,-0.001163
0.409998,-0.000665,-0.000661,-0.001019,-0.001085
0.414998,-0.000670,-0.000667,-0.000912,-0.000959
0.419998,-0.000674,-0.000671,-0.000801,-0.000872
0.424998,-0.000678,-0.000676,-0.000690,-0.000737
0.429998,-0.000681,-0.000679,-0.000584,-0.000649
0.434998,-0.000684,-0.000682,-0.000482,-0.000523
0.439998,-0.000686,-0.000684,-0.000387,-0.000445
0.444998,-0.000688,-0.000687,-0.000301,-0.000336
0.449998,-0.000689,-0.000688,-0.000225,-0.000270
0.454998,-0.000690,-0.000689,-0.000162,-0.000188
0.459998,-0.000690,-0.000690,-0.000109,-0.000142
0.464998,-0.000691,-0.000691,-0.000064,-0.000084
0.469997,-0.000691,-0.000691,-0.000023,-0.000051
0.474997,-0.000691,-0.000691,0.000017,-0.000004
0.479997,-0.000691,-0.000691,0.000058,0.000029
0.484997,-0.000690,-0.000691,0.000101,0.000079
0.489997,-0.000690,-0.000691,0.000143,0.000114
0.494997,-0.000689,-0.000690,0.000180,0.000162
0.499997,-0.000688,-0.000689,0.000210,0.000190
0.504997,-0.000687,-0.000688,0.000232,0.000220
0.509997,-0.000686,-0.000687,0.000247,0.000234
0.514997,-0.000684,-0.000686,0.000261,0.000250
0.519997,-0.000683,-0.000685,0.000278,0.000261
0.524997,-0.000681,-0.000683,0.000301,0.000283
0.529997,-0.000680,-0.000682,0.000334,0.000305
0.534997,-0.000678,-0.000680,0.000379,0.000351
0.539997,-0.000676,-0.000679,0.000439,0.000392
0.544997,-0.000674,-0.000676,0.000517,0.000474
0.549996,-0.000671,-0.000674,0.000612,0.000542
0.554996,-0.000667,-0.000671,0.000727,0.000668
0.559996,-0.000663,-0.000668,0.000860,0.000767
0.564996,-0.000659,-0.000663,0.001008,0.000937
0.569996,-0.000653,-0.000659,0.001168,0.001061
0.574996,-0.000647,-0.000652,0.001332,0.001258
0.579996,-0.000640,-0.000647,0.001492,0.001390
0.584996,-0.000632,-0.000638,0.001637,0.001574
0.589996,-0.000623,-0.000632,0.001764,0.001684
0.594996,-0.000614,-0.000622,0.001867,0.001824
0.599996,-0.000604,-0.000614,0.001942,0.001896
0.604996,-0.000595,-0.000603,0.001986,0.001967
0.609996,-0.000585,-0.000595,0.001999,0.001990
0.614996,-0.000575,-0.000583,0.001981,0.001986
0.619996,-0.000565,-0.000575,0.001933,0.001959
0.624996,-0.000555,-0.000563,0.001860,0.001884
0.629995,-0.000546,-0.000556,0.001765,0.001816
0.634995,-0.000538,-0.000545,0.001654,0.001690
0.639995,-0.000530,-0.000539,0.001533,0.001596
0.644995,-0.000523,-0.000529,0.001408,0.001447
0.649995,-0.000516,-0.000524,0.001282,0.001346
0.654995,-0.000510,-0.000516,0.001161,0.001196
0.659995,-0.000504,-0.000511,0.001049,0.001101
0.664995,-0.000500,-0.000505,0.000951,0.000975
0.669995,-0.000495,-0.000501,0.000867,0.000902
0.674995,-0.000491,-0.000496,0.000797,0.000810
0.679995,-0.000487,-0.000493,0.000736,0.000758
0.684995,-0.000484,-0.000488,0.000681,0.000690
0.689995,-0.000480,-0.000485,0.000631,0.000649
0.694995,-0.000477,-0.000482,0.000581,0.000589
0.699995,-0.000475,-0.000479,0.000527,0.000549
0.704994,-0.000472,-0.000476,0.000463,0.000479
0.709994,-0.000470,-0.000474,0.000389,0.000423
